SK_ID_CURR,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,CNT_CHILDREN,CNT_FAM_MEMBERS,REGION_POPULATION_RELATIVE,REGION_RATING_CLIENT,NAME_CONTRACT_TYPE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_HOUSING_TYPE,OCCUPATION_TYPE,FLAG_OWN_CAR,FLAG_OWN_REALTY
100006,136800.0,251000.0,18800.0,201000.0,365243,-8819,-2785,0.2877621218944252,0.09350709759447763,0.169165769080108,1,2,0.04622,2,Cash loans,Pensioner,Secondary / secondary special,House / apartment,Laborers,N,Y
100020,153100.0,583000.0,31690.0,525000.0,-2081,-4720,-5313,,0.32295663457211937,0.3809011019760668,0,2,0.00963,2,Cash loans,State servant,Secondary / secondary special,House / apartment,Sales staff,Y,Y
100022,201700.0,455000.0,34280.0,397000.0,-3212,-424,-471,,0.12775075580900327,0.21657259526518466,1,3,0.03554,2,Cash loans,Working,Secondary / secondary special,House / apartment,Managers,N,Y
100027,163000.0,500000.0,39980.0,407000.0,365243,-5188,-1089,,0.031170168206671737,0.07067479572844848,0,2,0.02866,1,Cash loans,Pensioner,Secondary / secondary special,House / apartment,Drivers,N,Y
100042,438900.0,1524000.0,65860.0,1431000.0,-407,-4801,-1167,,0.1142088028775185,0.2538340409452007,0,2,0.02866,2,Cash loans,Commercial associate,Secondary / secondary special,House / apartment,Managers,N,Y
100054,159600.0,893000.0,13270.0,745000.0,-575,-3994,-5300,,0.13057814192939785,0.15508398669932472,1,3,0.01885,2,Cash loans,Working,Secondary / secondary special,House / apartment,Sales staff,N,Y
100081,114900.0,544000.0,10120.0,461000.0,-1664,-3085,-3390,0.33197468118090384,0.16614914685192392,0.22778238797759967,0,1,0.00963,2,Cash loans,State servant,Secondary / secondary special,House / apartment,Core staff,N,N
100092,415900.0,1651000.0,126960.0,1370000.0,-801,-809,-2994,,0.14485748049062105,0.2243003713687612,1,2,0.02866,2,Cash loans,State servant,Secondary / secondary special,House / apartment,Core staff,N,Y
100097,105600.0,382000.0,31410.0,337000.0,-904,-8749,-1630,0.33352455459286556,0.24751451114060571,0.19297615454181458,0,2,0.02866,2,Cash loans,State servant,Higher education,House / apartment,Sales staff,N,Y
100146,130200.0,568000.0,45830.0,560000.0,365243,-2369,-3890,0.11402883396438468,0.12904626854483517,0.17732872750450818,0,2,0.01885,2,Cash loans,Pensioner,Incomplete higher,House / apartment,Accountants,Y,N
